Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Japan,Full Year GDP Growth,1995-12-31T00:00:00,2.6,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,1996-12-31T00:00:00,3.1,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,1997-12-31T00:00:00,1,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,1998-12-31T00:00:00,-1.3,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,1999-12-31T00:00:00,-0.3,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2000-12-31T00:00:00,2.8,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2001-12-31T00:00:00,0.4,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2002-12-31T00:00:00,0,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2003-12-31T00:00:00,1.5,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2004-12-31T00:00:00,2.2,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2005-12-31T00:00:00,1.8,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2006-12-31T00:00:00,1.4,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2007-12-31T00:00:00,1.5,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2008-12-31T00:00:00,-1.2,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2009-12-31T00:00:00,-5.7,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2010-12-31T00:00:00,4.1,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2011-12-31T00:00:00,0,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2012-12-31T00:00:00,1.4,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2013-12-31T00:00:00,2,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2014-12-31T00:00:00,0.3,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2015-12-31T00:00:00,1.6,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2016-12-31T00:00:00,0.8,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2017-12-31T00:00:00,1.7,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2018-12-31T00:00:00,0.6,Yearly,JPNFYGG,2022-02-16T07:39:00
Japan,Full Year GDP Growth,2019-12-31T00:00:00,-0.4,Yearly,JPNFYGG,2023-03-09T14:11:00
Japan,Full Year GDP Growth,2020-12-31T00:00:00,-4.3,Yearly,JPNFYGG,2023-02-15T15:06:00
Japan,Full Year GDP Growth,2021-12-31T00:00:00,2.1,Yearly,JPNFYGG,2023-02-15T15:07:00
Japan,Full Year GDP Growth,2022-12-31T00:00:00,1,Yearly,JPNFYGG,2023-03-09T14:11:00
