Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Japan,GDP,1960-12-31T00:00:00,44.31,Yearly,WGDPJAPA,2018-01-10T17:41:00
Japan,GDP,1961-12-31T00:00:00,53.51,Yearly,WGDPJAPA,2018-01-10T17:41:00
Japan,GDP,1962-12-31T00:00:00,60.72,Yearly,WGDPJAPA,2018-01-10T17:41:00
Japan,GDP,1963-12-31T00:00:00,69.5,Yearly,WGDPJAPA,2017-01-04T14:16:00
Japan,GDP,1964-12-31T00:00:00,81.75,Yearly,WGDPJAPA,2018-01-10T17:41:00
Japan,GDP,1965-12-31T00:00:00,90.95,Yearly,WGDPJAPA,2018-01-10T17:41:00
Japan,GDP,1966-12-31T00:00:00,105.63,Yearly,WGDPJAPA,2018-01-10T17:41:00
Japan,GDP,1967-12-31T00:00:00,123.78,Yearly,WGDPJAPA,2018-01-10T17:41:00
Japan,GDP,1968-12-31T00:00:00,146.6,Yearly,WGDPJAPA,2017-01-04T14:16:00
Japan,GDP,1969-12-31T00:00:00,172.2,Yearly,WGDPJAPA,2017-01-04T14:16:00
Japan,GDP,1970-12-31T00:00:00,212.61,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1971-12-31T00:00:00,240.15,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1972-12-31T00:00:00,318.03,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1973-12-31T00:00:00,432.08,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1974-12-31T00:00:00,479.63,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1975-12-31T00:00:00,521.54,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1976-12-31T00:00:00,586.16,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1977-12-31T00:00:00,721.41,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1978-12-31T00:00:00,1013.61,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1979-12-31T00:00:00,1055.01,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1980-12-31T00:00:00,1105.39,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1981-12-31T00:00:00,1218.99,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1982-12-31T00:00:00,1134.52,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1983-12-31T00:00:00,1243.32,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1984-12-31T00:00:00,1318.38,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1985-12-31T00:00:00,1398.89,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1986-12-31T00:00:00,2078.95,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1987-12-31T00:00:00,2532.81,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1988-12-31T00:00:00,3071.68,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1989-12-31T00:00:00,3054.91,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1990-12-31T00:00:00,3132.82,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1991-12-31T00:00:00,3584.42,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1992-12-31T00:00:00,3908.81,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1993-12-31T00:00:00,4454.14,Yearly,WGDPJAPA,2018-07-05T16:11:00
Japan,GDP,1994-12-31T00:00:00,4998.8,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,1995-12-31T00:00:00,5545.56,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,1996-12-31T00:00:00,4923.39,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,1997-12-31T00:00:00,4492.45,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,1998-12-31T00:00:00,4098.36,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,1999-12-31T00:00:00,4635.98,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2000-12-31T00:00:00,4968.36,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2001-12-31T00:00:00,4374.71,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2002-12-31T00:00:00,4182.85,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2003-12-31T00:00:00,4519.56,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2004-12-31T00:00:00,4893.12,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2005-12-31T00:00:00,4831.47,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2006-12-31T00:00:00,4601.66,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2007-12-31T00:00:00,4579.75,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2008-12-31T00:00:00,5106.68,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2009-12-31T00:00:00,5289.49,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2010-12-31T00:00:00,5759.07,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2011-12-31T00:00:00,6233.15,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2012-12-31T00:00:00,6272.36,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2013-12-31T00:00:00,5212.33,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2014-12-31T00:00:00,4896.99,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2015-12-31T00:00:00,4444.93,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2016-12-31T00:00:00,5003.68,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2017-12-31T00:00:00,4930.84,Yearly,WGDPJAPA,2021-11-09T19:11:00
Japan,GDP,2018-12-31T00:00:00,5040.88,Yearly,WGDPJAPA,2023-06-30T15:54:00
Japan,GDP,2019-12-31T00:00:00,5117.99,Yearly,WGDPJAPA,2023-06-30T15:54:00
Japan,GDP,2020-12-31T00:00:00,5048.79,Yearly,WGDPJAPA,2023-06-30T15:54:00
Japan,GDP,2021-12-31T00:00:00,5005.54,Yearly,WGDPJAPA,2023-06-30T15:54:00
Japan,GDP,2022-12-31T00:00:00,4231.14,Yearly,WGDPJAPA,2023-06-30T15:54:00
