Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Japan,GDP per Capita,1960-12-31T00:00:00,6260.68,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1961-12-31T00:00:00,6952.11,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1962-12-31T00:00:00,7501.45,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1963-12-31T00:00:00,8055.04,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1964-12-31T00:00:00,8902.5,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1965-12-31T00:00:00,9319.71,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1966-12-31T00:00:00,10217.41,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1967-12-31T00:00:00,11232.91,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1968-12-31T00:00:00,12537.88,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1969-12-31T00:00:00,13935.69,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1970-12-31T00:00:00,14114.32,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1971-12-31T00:00:00,14456.82,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1972-12-31T00:00:00,15455.14,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1973-12-31T00:00:00,16463.28,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1974-12-31T00:00:00,16046.78,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1975-12-31T00:00:00,16333.67,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1976-12-31T00:00:00,16801.93,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1977-12-31T00:00:00,17370.62,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1978-12-31T00:00:00,18120.73,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1979-12-31T00:00:00,18953.33,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1980-12-31T00:00:00,19334.37,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1981-12-31T00:00:00,20011.83,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1982-12-31T00:00:00,20525.3,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1983-12-31T00:00:00,21122.96,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1984-12-31T00:00:00,21912.15,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1985-12-31T00:00:00,22898.99,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1986-12-31T00:00:00,23527.71,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1987-12-31T00:00:00,24503.08,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1988-12-31T00:00:00,26026.86,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1989-12-31T00:00:00,27199.94,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1990-12-31T00:00:00,28422.21,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1991-12-31T00:00:00,29308.27,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1992-12-31T00:00:00,29462.65,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1993-12-31T00:00:00,29232.44,Yearly,JPNNYGDPPCAPKD,2022-12-27T17:31:00
Japan,GDP per Capita,1994-12-31T00:00:00,29466.76,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1995-12-31T00:00:00,30171.16,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1996-12-31T00:00:00,31046.17,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1997-12-31T00:00:00,31276.19,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1998-12-31T00:00:00,30795.09,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,1999-12-31T00:00:00,30636.27,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2000-12-31T00:00:00,31430.63,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2001-12-31T00:00:00,31476.05,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2002-12-31T00:00:00,31416.12,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2003-12-31T00:00:00,31830.22,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2004-12-31T00:00:00,32515.12,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2005-12-31T00:00:00,33098.55,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2006-12-31T00:00:00,33531.52,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2007-12-31T00:00:00,33990.04,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2008-12-31T00:00:00,33557.65,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2009-12-31T00:00:00,31651.08,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2010-12-31T00:00:00,32942.2,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2011-12-31T00:00:00,33011.13,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2012-12-31T00:00:00,33518.44,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2013-12-31T00:00:00,34239.89,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2014-12-31T00:00:00,34386.91,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2015-12-31T00:00:00,34960.64,Yearly,JPNNYGDPPCAPKD,2021-11-09T18:49:00
Japan,GDP per Capita,2016-12-31T00:00:00,35242.2,Yearly,JPNNYGDPPCAPKD,2022-07-18T13:53:00
Japan,GDP per Capita,2017-12-31T00:00:00,35861.97,Yearly,JPNNYGDPPCAPKD,2022-07-18T13:52:00
Japan,GDP per Capita,2018-12-31T00:00:00,36138.53,Yearly,JPNNYGDPPCAPKD,2023-06-30T15:53:00
Japan,GDP per Capita,2019-12-31T00:00:00,36043.78,Yearly,JPNNYGDPPCAPKD,2023-06-30T15:53:00
Japan,GDP per Capita,2020-12-31T00:00:00,34603.27,Yearly,JPNNYGDPPCAPKD,2023-06-30T15:53:00
Japan,GDP per Capita,2021-12-31T00:00:00,35507.58,Yearly,JPNNYGDPPCAPKD,2023-06-30T15:53:00
Japan,GDP per Capita,2022-12-31T00:00:00,36032.39,Yearly,JPNNYGDPPCAPKD,2023-06-30T15:53:00
