Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Japan,Residential Property Prices,1956-03-31T00:00:00,13.91,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1956-06-30T00:00:00,16.9,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1956-09-30T00:00:00,19.67,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1956-12-31T00:00:00,23.12,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1957-03-31T00:00:00,26.34,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1957-06-30T00:00:00,25.78,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1957-09-30T00:00:00,25.34,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1957-12-31T00:00:00,24.08,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1958-03-31T00:00:00,22.96,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1958-06-30T00:00:00,23.81,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1958-09-30T00:00:00,24.59,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1958-12-31T00:00:00,24.19,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1959-03-31T00:00:00,23.83,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1959-06-30T00:00:00,23.75,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1959-09-30T00:00:00,23.68,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1959-12-31T00:00:00,23.33,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1960-03-31T00:00:00,23.02,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1960-06-30T00:00:00,24.85,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1960-09-30T00:00:00,26.42,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1960-12-31T00:00:00,32.35,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1961-03-31T00:00:00,37.74,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1961-06-30T00:00:00,38.2,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1961-09-30T00:00:00,38.71,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1961-12-31T00:00:00,32.04,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1962-03-31T00:00:00,26.46,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1962-06-30T00:00:00,22.11,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1962-09-30T00:00:00,18.3,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1962-12-31T00:00:00,16.96,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1963-03-31T00:00:00,15.74,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1963-06-30T00:00:00,14.67,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1963-09-30T00:00:00,13.68,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1963-12-31T00:00:00,13.64,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1964-03-31T00:00:00,13.6,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1964-06-30T00:00:00,13.97,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1964-09-30T00:00:00,14.29,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1964-12-31T00:00:00,14.55,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1965-03-31T00:00:00,14.79,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1965-06-30T00:00:00,12.24,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1965-09-30T00:00:00,9.87,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1965-12-31T00:00:00,7.94,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1966-03-31T00:00:00,6.14,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1966-06-30T00:00:00,6.97,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1966-09-30T00:00:00,7.78,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1966-12-31T00:00:00,8.82,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1967-03-31T00:00:00,9.83,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1967-06-30T00:00:00,11.89,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1967-09-30T00:00:00,13.89,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1967-12-31T00:00:00,15.41,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1968-03-31T00:00:00,16.84,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1968-06-30T00:00:00,17.24,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1968-09-30T00:00:00,17.56,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1968-12-31T00:00:00,18.5,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1969-03-31T00:00:00,19.37,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1969-06-30T00:00:00,20.91,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1969-09-30T00:00:00,22.41,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1969-12-31T00:00:00,22.53,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1970-03-31T00:00:00,22.64,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1970-06-30T00:00:00,21.43,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1970-09-30T00:00:00,20.34,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1970-12-31T00:00:00,19.03,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1971-03-31T00:00:00,17.85,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1971-06-30T00:00:00,16.77,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1971-09-30T00:00:00,15.77,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1971-12-31T00:00:00,15.04,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1972-03-31T00:00:00,14.36,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1972-06-30T00:00:00,15.26,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1972-09-30T00:00:00,16.06,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1972-12-31T00:00:00,22.73,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1973-03-31T00:00:00,29,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1973-06-30T00:00:00,33.61,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1973-09-30T00:00:00,37.95,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1973-12-31T00:00:00,31.57,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1974-03-31T00:00:00,26.19,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1974-06-30T00:00:00,17.62,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1974-09-30T00:00:00,10.18,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1974-12-31T00:00:00,2.7,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1975-03-31T00:00:00,-4.21,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1975-06-30T00:00:00,-4.73,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1975-09-30T00:00:00,-5.24,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1975-12-31T00:00:00,-1.99,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1976-03-31T00:00:00,1.46,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1976-06-30T00:00:00,2.05,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1976-09-30T00:00:00,2.62,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1976-12-31T00:00:00,3.26,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1977-03-31T00:00:00,3.9,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1977-06-30T00:00:00,4.14,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1977-09-30T00:00:00,4.4,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1977-12-31T00:00:00,4.56,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1978-03-31T00:00:00,4.72,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1978-06-30T00:00:00,5.29,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1978-09-30T00:00:00,5.84,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1978-12-31T00:00:00,6.71,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1979-03-31T00:00:00,7.56,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1979-06-30T00:00:00,8.8,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1979-09-30T00:00:00,10.01,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1979-12-31T00:00:00,11.38,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1980-03-31T00:00:00,12.7,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1980-06-30T00:00:00,13.21,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1980-09-30T00:00:00,13.65,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1980-12-31T00:00:00,12.93,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1981-03-31T00:00:00,12.25,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1981-06-30T00:00:00,11.27,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1981-09-30T00:00:00,10.37,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1981-12-31T00:00:00,9.7,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1982-03-31T00:00:00,9.06,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1982-06-30T00:00:00,8.24,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1982-09-30T00:00:00,7.44,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1982-12-31T00:00:00,6.61,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1983-03-31T00:00:00,5.81,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1983-06-30T00:00:00,5.15,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1983-09-30T00:00:00,4.5,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1983-12-31T00:00:00,4.06,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1984-03-31T00:00:00,3.63,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1984-06-30T00:00:00,3.35,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1984-09-30T00:00:00,3.07,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1984-12-31T00:00:00,2.92,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1985-03-31T00:00:00,2.77,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1985-06-30T00:00:00,2.59,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1985-09-30T00:00:00,2.41,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1985-12-31T00:00:00,2.28,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1986-03-31T00:00:00,2.14,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1986-06-30T00:00:00,2.33,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1986-09-30T00:00:00,2.51,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1986-12-31T00:00:00,3.51,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1987-03-31T00:00:00,4.5,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1987-06-30T00:00:00,6.96,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1987-09-30T00:00:00,9.42,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1987-12-31T00:00:00,8.86,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1988-03-31T00:00:00,8.32,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1988-06-30T00:00:00,6.18,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1988-09-30T00:00:00,4.13,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1988-12-31T00:00:00,4.78,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1989-03-31T00:00:00,5.42,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1989-06-30T00:00:00,6.81,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1989-09-30T00:00:00,8.2,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1989-12-31T00:00:00,10.55,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1990-03-31T00:00:00,12.82,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1990-06-30T00:00:00,14.04,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1990-09-30T00:00:00,15.22,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1990-12-31T00:00:00,12.32,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1991-03-31T00:00:00,9.63,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1991-06-30T00:00:00,5.82,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1991-09-30T00:00:00,2.21,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1991-12-31T00:00:00,-0.16,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1992-03-31T00:00:00,-2.47,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1992-06-30T00:00:00,-3.56,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1992-09-30T00:00:00,-4.64,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1992-12-31T00:00:00,-4.8,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1993-03-31T00:00:00,-4.96,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1993-06-30T00:00:00,-4.58,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1993-09-30T00:00:00,-4.2,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1993-12-31T00:00:00,-3.59,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1994-03-31T00:00:00,-2.95,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1994-06-30T00:00:00,-2.52,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1994-09-30T00:00:00,-2.08,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1994-12-31T00:00:00,-1.8,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1995-03-31T00:00:00,-1.52,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1995-06-30T00:00:00,-1.5,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1995-09-30T00:00:00,-1.47,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1995-12-31T00:00:00,-1.63,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1996-03-31T00:00:00,-1.78,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1996-06-30T00:00:00,-1.85,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1996-09-30T00:00:00,-1.92,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1996-12-31T00:00:00,-1.71,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1997-03-31T00:00:00,-1.51,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1997-06-30T00:00:00,-1.33,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1997-09-30T00:00:00,-1.16,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1997-12-31T00:00:00,-1.22,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1998-03-31T00:00:00,-1.29,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1998-06-30T00:00:00,-1.51,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1998-09-30T00:00:00,-1.73,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1998-12-31T00:00:00,-2.2,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1999-03-31T00:00:00,-2.67,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1999-06-30T00:00:00,-3,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1999-09-30T00:00:00,-3.33,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,1999-12-31T00:00:00,-3.45,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,2000-03-31T00:00:00,-3.58,Quarterly,JPRPP,2023-06-20T12:42:00
Japan,Residential Property Prices,2000-06-30T00:00:00,-3.74,Quarterly,JPRPP,2023-06-20T12:42:00
